Name,Stream,Career_Path,Skills,Internship_Field,Courses_Completed,Industry,Salary_INR,Experience_Years,Current_Level,Previous_Role,Location,Certifications,Employment_Type,Remote_or_Onsite
Crystal Stevens,Computer Science,Data Analyst,"Python, SQL, Power BI",Data Analyst,Google Certification,Marine,366900,8,Junior,Trainee,Delhi,AWS,Contract,Hybrid
Joy Willis,Computer Science,Software Developer,"Java, DSA, Git",Software Developer,NPTEL,Education,1776737,6,Mid-Level,Junior Associate,Visakhapatnam,AWS,Contract,Hybrid
Dr. Steven Abbott,Computer Science,Data Analyst,"Python, SQL, Power BI",Data Analyst,Google Certification,Finance,2049766,6,Intern,Intern,Mumbai,Google Analytics,Freelance,Hybrid
Rodney Crane,Computer Science,Software Developer,"Java, DSA, Git",Software Developer,NPTEL,Finance,1225242,15,Intern,Junior Associate,Kochi,Microsoft,Freelance,Remote
Amanda Klein,Computer Science,Cyber Security Analyst,"Networking, Ethical Hacking, Linux",Cyber Security Analyst,Coursera,Automobile,448484,8,Senior,Junior Associate,Kochi,Google Analytics,Contract,Hybrid
Martha Flowers,Computer Science,Cloud Engineer,"AWS, Docker, Linux",Cloud Engineer,IBM Certification,Education,891001,7,Senior,Trainee,Visakhapatnam,Microsoft,Full-Time,Onsite
Nicole Heath,Computer Science,Software Developer,"Java, DSA, Git",Software Developer,NPTEL,Healthcare,1526785,14,Senior,Junior Associate,Mumbai,Microsoft,Internship,Remote
Diana Smith,Computer Science,Software Developer,"Java, DSA, Git",Software Developer,Google Certification,Agriculture,1033976,4,Junior,Junior Associate,Kochi,Google Analytics,Full-Time,Hybrid
Daniel Garcia PhD,Computer Science,Data Analyst,"Python, SQL, Power BI",Data Analyst,NPTEL,Media,1299069,11,Junior,Intern,Delhi,CompTIA Security+,Internship,Hybrid
Jacqueline Bullock,Computer Science,Cloud Engineer,"AWS, Docker, Linux",Cloud Engineer,Udemy,Construction,2336513,11,Senior,Trainee,Bangalore,CompTIA Security+,Contract,Hybrid
Kaitlyn Washington,Computer Science,Cyber Security Analyst,"Networking, Ethical Hacking, Linux",Cyber Security Analyst,Udemy,Marine,1941810,10,Mid-Level,Junior Associate,Mumbai,Microsoft,Contract,Onsite
Michael Russell,Computer Science,Cloud Engineer,"AWS, Docker, Linux",Cloud Engineer,NPTEL,Finance,829694,12,Junior,Student,Chennai,,Internship,Remote
Dawn Webster,Computer Science,AI Engineer,"Machine Learning, Python, TensorFlow",AI Engineer,NPTEL,Manufacturing,856272,13,Mid-Level,Trainee,Kochi,Google Analytics,Freelance,Remote
Sandra Roberts,Computer Science,Cloud Engineer,"AWS, Docker, Linux",Cloud Engineer,IBM Certification,Agriculture,1679101,10,Intern,Student,Visakhapatnam,Google Analytics,Contract,Hybrid
Linda Castro,Computer Science,Software Developer,"Java, DSA, Git",Software Developer,Udemy,Construction,1679341,0,Senior,Trainee,Coimbatore,Microsoft,Full-Time,Hybrid
Shannon Mitchell,Computer Science,Software Developer,"Java, DSA, Git",Software Developer,LinkedIn Learning,IT,910337,6,Intern,Junior Associate,Bangalore,CompTIA Security+,Full-Time,Onsite
Ashley Freeman,Computer Science,Software Developer,"Java, DSA, Git",Software Developer,LinkedIn Learning,Agriculture,282686,8,Junior,Trainee,Coimbatore,CompTIA Security+,Internship,Remote
George King,Computer Science,Software Developer,"Java, DSA, Git",Software Developer,Skillshare,IT,527442,9,Mid-Level,Trainee,Visakhapatnam,Microsoft,Full-Time,Remote
Nicole Mata,Computer Science,Software Developer,"Java, DSA, Git",Software Developer,Udemy,Manufacturing,2128613,7,Intern,Junior Associate,Mumbai,Cisco,Internship,Remote
Phillip Banks,Computer Science,Software Developer,"Java, DSA, Git",Software Developer,LinkedIn Learning,Education,1956527,1,Intern,Intern,Bangalore,,Contract,Hybrid
Jason Cline,Computer Science,Cyber Security Analyst,"Networking, Ethical Hacking, Linux",Cyber Security Analyst,LinkedIn Learning,Finance,747649,10,Intern,Student,Hyderabad,AWS,Contract,Hybrid
Diana Stephens,Computer Science,Data Analyst,"Python, SQL, Power BI",Data Analyst,Coursera,Media,1364048,1,Intern,Junior Associate,Chennai,Google Analytics,Contract,Onsite
Patricia Davidson,Computer Science,AI Engineer,"Machine Learning, Python, TensorFlow",AI Engineer,Coursera,Media,2146056,11,Intern,Student,Coimbatore,Google Analytics,Freelance,Remote
Alexandra Smith PhD,Computer Science,Cloud Engineer,"AWS, Docker, Linux",Cloud Engineer,LinkedIn Learning,Construction,2486276,1,Senior,Trainee,Pune,Cisco,Internship,Onsite
Angela Wood,Computer Science,Cyber Security Analyst,"Networking, Ethical Hacking, Linux",Cyber Security Analyst,LinkedIn Learning,Agriculture,450612,0,Intern,Junior Associate,Chennai,Google Analytics,Full-Time,Hybrid
April Bennett,Computer Science,Cloud Engineer,"AWS, Docker, Linux",Cloud Engineer,IBM Certification,Media,955783,3,Senior,Trainee,Chennai,Cisco,Internship,Remote
Steven Hall,Computer Science,Cyber Security Analyst,"Networking, Ethical Hacking, Linux",Cyber Security Analyst,LinkedIn Learning,Marine,572769,14,Senior,Intern,Mumbai,,Contract,Hybrid
Wayne Matthews,Computer Science,Software Developer,"Java, DSA, Git",Software Developer,Udemy,Agriculture,965379,14,Intern,Junior Associate,Visakhapatnam,Google Analytics,Freelance,Remote
Tyler Bailey,Computer Science,Data Analyst,"Python, SQL, Power BI",Data Analyst,Skillshare,Marine,922758,12,Senior,Student,Chennai,Microsoft,Internship,Remote
Mark Huff,Computer Science,Cyber Security Analyst,"Networking, Ethical Hacking, Linux",Cyber Security Analyst,LinkedIn Learning,Media,1793535,2,Intern,Trainee,Mumbai,CompTIA Security+,Internship,Hybrid
Allen Jones,Computer Science,Data Analyst,"Python, SQL, Power BI",Data Analyst,LinkedIn Learning,IT,2291413,12,Senior,Junior Associate,Mumbai,,Freelance,Remote
Jill Douglas,Computer Science,AI Engineer,"Machine Learning, Python, TensorFlow",AI Engineer,Skillshare,Healthcare,595932,2,Mid-Level,Intern,Hyderabad,AWS,Internship,Onsite
Erica Smith,Computer Science,Cyber Security Analyst,"Networking, Ethical Hacking, Linux",Cyber Security Analyst,Coursera,Media,307135,7,Intern,Junior Associate,Delhi,,Contract,Onsite
Bethany White,Computer Science,Data Analyst,"Python, SQL, Power BI",Data Analyst,Coursera,Finance,2164970,4,Intern,Junior Associate,Kochi,AWS,Full-Time,Remote
April Campbell,Computer Science,Software Developer,"Java, DSA, Git",Software Developer,LinkedIn Learning,Marine,477413,14,Junior,Trainee,Pune,CompTIA Security+,Internship,Onsite
Veronica Ross,Computer Science,AI Engineer,"Machine Learning, Python, TensorFlow",AI Engineer,Coursera,Finance,853396,4,Intern,Junior Associate,Chennai,AWS,Freelance,Onsite
Edgar Johnson,Computer Science,Cyber Security Analyst,"Networking, Ethical Hacking, Linux",Cyber Security Analyst,IBM Certification,Automobile,1800299,5,Senior,Trainee,Hyderabad,Microsoft,Internship,Remote
Maria Olson,Computer Science,Cyber Security Analyst,"Networking, Ethical Hacking, Linux",Cyber Security Analyst,LinkedIn Learning,Manufacturing,430723,10,Junior,Junior Associate,Pune,Microsoft,Freelance,Hybrid
Mary Wilson,Computer Science,Software Developer,"Java, DSA, Git",Software Developer,Google Certification,Finance,560782,11,Intern,Trainee,Chennai,,Internship,Remote
Ashley Proctor,Computer Science,Cloud Engineer,"AWS, Docker, Linux",Cloud Engineer,NPTEL,Healthcare,1459611,6,Intern,Intern,Chennai,Google Analytics,Freelance,Hybrid
Nichole Bowen,Computer Science,Software Developer,"Java, DSA, Git",Software Developer,Coursera,Healthcare,268934,10,Junior,Junior Associate,Coimbatore,CompTIA Security+,Freelance,Onsite
Brian Taylor,Computer Science,Cyber Security Analyst,"Networking, Ethical Hacking, Linux",Cyber Security Analyst,Udemy,Manufacturing,564127,10,Mid-Level,Student,Hyderabad,CompTIA Security+,Internship,Hybrid
Joe Stewart,Computer Science,Cloud Engineer,"AWS, Docker, Linux",Cloud Engineer,Google Certification,Education,1672699,0,Senior,Intern,Hyderabad,Microsoft,Internship,Hybrid
Julie Mckinney,Computer Science,Data Analyst,"Python, SQL, Power BI",Data Analyst,Google Certification,Construction,1791632,9,Senior,Trainee,Delhi,,Internship,Hybrid
Cassandra Mcdonald,Computer Science,Cyber Security Analyst,"Networking, Ethical Hacking, Linux",Cyber Security Analyst,LinkedIn Learning,Education,586205,3,Senior,Junior Associate,Pune,Microsoft,Internship,Onsite
Jacob Smith,Computer Science,Cloud Engineer,"AWS, Docker, Linux",Cloud Engineer,IBM Certification,Manufacturing,262448,8,Senior,Intern,Pune,CompTIA Security+,Contract,Remote
Jack Warren,Computer Science,Cloud Engineer,"AWS, Docker, Linux",Cloud Engineer,Skillshare,Construction,355747,2,Intern,Student,Pune,AWS,Full-Time,Hybrid
Luis Brown,Computer Science,Data Analyst,"Python, SQL, Power BI",Data Analyst,Coursera,Agriculture,626421,12,Senior,Intern,Delhi,Google Analytics,Internship,Onsite
Bradley English,Computer Science,Software Developer,"Java, DSA, Git",Software Developer,Udemy,IT,2025733,9,Intern,Student,Bangalore,CompTIA Security+,Full-Time,Onsite
Tony Mcbride,Computer Science,AI Engineer,"Machine Learning, Python, TensorFlow",AI Engineer,IBM Certification,Education,1939612,6,Mid-Level,Trainee,Mumbai,Microsoft,Full-Time,Remote
Pamela Choi,Computer Science,Data Analyst,"Python, SQL, Power BI",Data Analyst,LinkedIn Learning,Manufacturing,565960,2,Senior,Junior Associate,Mumbai,,Internship,Remote
Glenda Kim,Computer Science,Cloud Engineer,"AWS, Docker, Linux",Cloud Engineer,Coursera,Marine,519196,11,Intern,Trainee,Bangalore,Cisco,Internship,Onsite
Gregory Robinson,Computer Science,Cloud Engineer,"AWS, Docker, Linux",Cloud Engineer,Udemy,Agriculture,728501,11,Intern,Intern,Chennai,AWS,Contract,Hybrid
Laura Wilson,Computer Science,Software Developer,"Java, DSA, Git",Software Developer,IBM Certification,Marine,2209402,11,Mid-Level,Trainee,Hyderabad,,Freelance,Remote
Susan Park,Computer Science,AI Engineer,"Machine Learning, Python, TensorFlow",AI Engineer,NPTEL,Media,1958496,3,Intern,Trainee,Bangalore,AWS,Freelance,Hybrid
Stacey Robinson,Computer Science,Cloud Engineer,"AWS, Docker, Linux",Cloud Engineer,Skillshare,IT,1691770,15,Senior,Trainee,Visakhapatnam,Google Analytics,Full-Time,Onsite
George Welch,Computer Science,Software Developer,"Java, DSA, Git",Software Developer,LinkedIn Learning,Finance,1343189,3,Intern,Trainee,Hyderabad,Microsoft,Contract,Remote
Cassidy Miller,Computer Science,Cyber Security Analyst,"Networking, Ethical Hacking, Linux",Cyber Security Analyst,IBM Certification,IT,1120465,7,Senior,Junior Associate,Coimbatore,Cisco,Freelance,Remote
Allison Prince,Computer Science,AI Engineer,"Machine Learning, Python, TensorFlow",AI Engineer,IBM Certification,Finance,1940708,3,Junior,Junior Associate,Bangalore,Google Analytics,Internship,Hybrid
Brian Moore,Computer Science,Cyber Security Analyst,"Networking, Ethical Hacking, Linux",Cyber Security Analyst,IBM Certification,Agriculture,635496,9,Senior,Trainee,Visakhapatnam,Google Analytics,Freelance,Onsite
Ryan Carlson,Computer Science,Cloud Engineer,"AWS, Docker, Linux",Cloud Engineer,Coursera,Marine,298959,6,Junior,Junior Associate,Visakhapatnam,Cisco,Full-Time,Onsite
Shane Anderson,Computer Science,AI Engineer,"Machine Learning, Python, TensorFlow",AI Engineer,Google Certification,Education,1191331,9,Junior,Junior Associate,Hyderabad,Cisco,Internship,Onsite
Ashley Savage,Computer Science,Cloud Engineer,"AWS, Docker, Linux",Cloud Engineer,NPTEL,Finance,371707,0,Intern,Student,Chennai,Microsoft,Internship,Onsite
Nicole Galloway,Computer Science,Data Analyst,"Python, SQL, Power BI",Data Analyst,IBM Certification,IT,1819956,4,Mid-Level,Trainee,Coimbatore,AWS,Contract,Remote
Sheri Odonnell,Computer Science,AI Engineer,"Machine Learning, Python, TensorFlow",AI Engineer,IBM Certification,Healthcare,1357586,4,Senior,Trainee,Mumbai,CompTIA Security+,Internship,Remote
Michael Marshall,Computer Science,AI Engineer,"Machine Learning, Python, TensorFlow",AI Engineer,Skillshare,Healthcare,462682,2,Junior,Student,Coimbatore,Cisco,Internship,Hybrid
Roger Reed,Computer Science,Cyber Security Analyst,"Networking, Ethical Hacking, Linux",Cyber Security Analyst,IBM Certification,Education,451119,7,Mid-Level,Junior Associate,Delhi,Microsoft,Contract,Remote
Sarah Smith,Computer Science,Cyber Security Analyst,"Networking, Ethical Hacking, Linux",Cyber Security Analyst,Coursera,Manufacturing,974373,13,Intern,Student,Bangalore,Microsoft,Full-Time,Onsite
Penny Jensen,Computer Science,Cyber Security Analyst,"Networking, Ethical Hacking, Linux",Cyber Security Analyst,Coursera,Finance,942934,14,Mid-Level,Student,Coimbatore,,Freelance,Remote
Anthony Schmidt,Computer Science,Cloud Engineer,"AWS, Docker, Linux",Cloud Engineer,LinkedIn Learning,Media,934623,3,Junior,Trainee,Pune,,Freelance,Onsite
Jeffrey Lee II,Computer Science,Data Analyst,"Python, SQL, Power BI",Data Analyst,Google Certification,Automobile,915299,2,Senior,Trainee,Bangalore,AWS,Full-Time,Hybrid
Jenny Gray,Computer Science,Cloud Engineer,"AWS, Docker, Linux",Cloud Engineer,Google Certification,Media,1914677,10,Intern,Intern,Bangalore,CompTIA Security+,Internship,Remote
Blake Nixon,Computer Science,Cloud Engineer,"AWS, Docker, Linux",Cloud Engineer,NPTEL,Agriculture,664528,10,Senior,Student,Chennai,Google Analytics,Contract,Remote
Jeffrey Rodriguez,Computer Science,Cloud Engineer,"AWS, Docker, Linux",Cloud Engineer,Skillshare,Manufacturing,1611401,9,Mid-Level,Student,Mumbai,Microsoft,Internship,Onsite
Laura Bridges,Computer Science,Software Developer,"Java, DSA, Git",Software Developer,IBM Certification,Agriculture,520795,0,Senior,Student,Chennai,Google Analytics,Freelance,Remote
Gary Tucker,Computer Science,Cyber Security Analyst,"Networking, Ethical Hacking, Linux",Cyber Security Analyst,LinkedIn Learning,Agriculture,878278,2,Mid-Level,Intern,Coimbatore,AWS,Contract,Remote
Sarah Mcclure,Computer Science,Software Developer,"Java, DSA, Git",Software Developer,NPTEL,Healthcare,752565,12,Senior,Trainee,Pune,Microsoft,Full-Time,Hybrid
Todd Mitchell,Computer Science,AI Engineer,"Machine Learning, Python, TensorFlow",AI Engineer,LinkedIn Learning,Manufacturing,1554734,13,Mid-Level,Intern,Mumbai,Microsoft,Contract,Remote
Robert Lyons,Computer Science,Data Analyst,"Python, SQL, Power BI",Data Analyst,NPTEL,Construction,599379,0,Junior,Trainee,Kochi,,Freelance,Onsite
Miguel Vasquez,Computer Science,AI Engineer,"Machine Learning, Python, TensorFlow",AI Engineer,Udemy,Automobile,2445855,1,Senior,Intern,Visakhapatnam,AWS,Contract,Onsite
Joshua Short,Computer Science,Cloud Engineer,"AWS, Docker, Linux",Cloud Engineer,Coursera,Marine,2319290,9,Intern,Student,Bangalore,AWS,Full-Time,Onsite
Michele Smith,Computer Science,Software Developer,"Java, DSA, Git",Software Developer,IBM Certification,Agriculture,425462,3,Senior,Student,Pune,CompTIA Security+,Internship,Onsite
Christine Taylor,Computer Science,Data Analyst,"Python, SQL, Power BI",Data Analyst,Coursera,IT,251516,0,Intern,Intern,Hyderabad,Cisco,Internship,Remote
Michelle Fernandez,Computer Science,Cyber Security Analyst,"Networking, Ethical Hacking, Linux",Cyber Security Analyst,Udemy,Agriculture,1128975,3,Junior,Intern,Visakhapatnam,Microsoft,Contract,Hybrid
Jessica Morris DVM,Computer Science,Data Analyst,"Python, SQL, Power BI",Data Analyst,NPTEL,IT,1205030,9,Junior,Intern,Kochi,Google Analytics,Freelance,Hybrid
Stacy Williamson,Computer Science,Cloud Engineer,"AWS, Docker, Linux",Cloud Engineer,NPTEL,Marine,375521,9,Mid-Level,Student,Hyderabad,Microsoft,Contract,Remote
Kayla Reid,Computer Science,AI Engineer,"Machine Learning, Python, TensorFlow",AI Engineer,Coursera,Media,1119705,13,Mid-Level,Junior Associate,Chennai,AWS,Contract,Remote
Jerry Delgado,Computer Science,Cloud Engineer,"AWS, Docker, Linux",Cloud Engineer,Google Certification,Marine,373782,14,Senior,Trainee,Coimbatore,Microsoft,Full-Time,Remote
Tony Shaw,Computer Science,Cyber Security Analyst,"Networking, Ethical Hacking, Linux",Cyber Security Analyst,IBM Certification,Manufacturing,1463461,3,Senior,Intern,Chennai,CompTIA Security+,Full-Time,Remote
Keith Cain,Computer Science,Data Analyst,"Python, SQL, Power BI",Data Analyst,Google Certification,Marine,1340875,0,Intern,Intern,Coimbatore,AWS,Contract,Onsite
Joseph Smith,Computer Science,Software Developer,"Java, DSA, Git",Software Developer,Udemy,Manufacturing,1690659,9,Intern,Trainee,Kochi,CompTIA Security+,Internship,Hybrid
Gail Miller,Computer Science,Software Developer,"Java, DSA, Git",Software Developer,Google Certification,Finance,1713557,12,Intern,Junior Associate,Chennai,,Contract,Onsite
Joy Zuniga,Computer Science,Cloud Engineer,"AWS, Docker, Linux",Cloud Engineer,Coursera,Construction,2286828,3,Intern,Junior Associate,Delhi,CompTIA Security+,Full-Time,Onsite
Garrett Figueroa,Computer Science,Data Analyst,"Python, SQL, Power BI",Data Analyst,NPTEL,Marine,1604562,12,Junior,Junior Associate,Kochi,CompTIA Security+,Freelance,Hybrid
Michael Arnold,Computer Science,Data Analyst,"Python, SQL, Power BI",Data Analyst,Coursera,Marine,1914238,3,Mid-Level,Junior Associate,Bangalore,Cisco,Freelance,Remote
Corey Gardner,Computer Science,AI Engineer,"Machine Learning, Python, TensorFlow",AI Engineer,Coursera,Media,2001082,15,Senior,Student,Mumbai,CompTIA Security+,Contract,Remote
Richard Simon,Computer Science,Software Developer,"Java, DSA, Git",Software Developer,Coursera,Construction,1717180,7,Intern,Junior Associate,Pune,Google Analytics,Contract,Onsite
Elizabeth Figueroa,Computer Science,Cyber Security Analyst,"Networking, Ethical Hacking, Linux",Cyber Security Analyst,Udemy,Healthcare,836995,11,Mid-Level,Junior Associate,Chennai,Microsoft,Contract,Hybrid
Hannah Nelson,Computer Science,Cyber Security Analyst,"Networking, Ethical Hacking, Linux",Cyber Security Analyst,LinkedIn Learning,Automobile,1945750,8,Senior,Junior Associate,Chennai,Google Analytics,Full-Time,Hybrid
Angel Taylor,Computer Science,Cyber Security Analyst,"Networking, Ethical Hacking, Linux",Cyber Security Analyst,LinkedIn Learning,Automobile,1527024,13,Mid-Level,Intern,Hyderabad,Cisco,Contract,Remote
Madison Jones,Computer Science,Cyber Security Analyst,"Networking, Ethical Hacking, Linux",Cyber Security Analyst,Skillshare,Agriculture,782178,2,Intern,Intern,Hyderabad,Google Analytics,Full-Time,Onsite
Mariah Hunt,Computer Science,Cloud Engineer,"AWS, Docker, Linux",Cloud Engineer,IBM Certification,Finance,1325846,11,Senior,Junior Associate,Bangalore,Cisco,Freelance,Onsite
Olivia Jones,Computer Science,Software Developer,"Java, DSA, Git",Software Developer,IBM Certification,Finance,1744360,7,Junior,Junior Associate,Kochi,Microsoft,Freelance,Onsite
Nancy Pham,Computer Science,AI Engineer,"Machine Learning, Python, TensorFlow",AI Engineer,NPTEL,Marine,713782,11,Intern,Junior Associate,Delhi,Google Analytics,Internship,Hybrid
Judy Burke,Computer Science,Cyber Security Analyst,"Networking, Ethical Hacking, Linux",Cyber Security Analyst,Skillshare,Education,483052,6,Intern,Junior Associate,Bangalore,Cisco,Internship,Onsite
Austin Wong,Computer Science,Data Analyst,"Python, SQL, Power BI",Data Analyst,Google Certification,IT,563148,12,Senior,Student,Hyderabad,,Full-Time,Hybrid
Earl Yang,Computer Science,Cyber Security Analyst,"Networking, Ethical Hacking, Linux",Cyber Security Analyst,Google Certification,Manufacturing,2418560,1,Intern,Junior Associate,Visakhapatnam,,Freelance,Remote
Julia Caldwell,Computer Science,Cloud Engineer,"AWS, Docker, Linux",Cloud Engineer,Udemy,Marine,308749,8,Senior,Student,Chennai,Cisco,Internship,Remote
Claudia Gardner,Computer Science,Software Developer,"Java, DSA, Git",Software Developer,Udemy,Construction,1792504,5,Senior,Trainee,Mumbai,CompTIA Security+,Freelance,Hybrid
Ryan Bryant,Computer Science,Cloud Engineer,"AWS, Docker, Linux",Cloud Engineer,Skillshare,Marine,2103584,7,Junior,Student,Mumbai,Cisco,Full-Time,Remote
Karen Taylor,Computer Science,Cyber Security Analyst,"Networking, Ethical Hacking, Linux",Cyber Security Analyst,IBM Certification,Media,1417190,10,Intern,Student,Hyderabad,,Full-Time,Onsite
Rachel Bailey,Computer Science,Software Developer,"Java, DSA, Git",Software Developer,Google Certification,Construction,528878,1,Senior,Junior Associate,Pune,AWS,Freelance,Onsite
Peter Michael,Computer Science,Cloud Engineer,"AWS, Docker, Linux",Cloud Engineer,Skillshare,Finance,2266779,9,Senior,Junior Associate,Pune,,Contract,Onsite
Anna Dickerson,Computer Science,AI Engineer,"Machine Learning, Python, TensorFlow",AI Engineer,Google Certification,Media,1368883,0,Mid-Level,Trainee,Pune,AWS,Full-Time,Onsite
Crystal White,Computer Science,Cyber Security Analyst,"Networking, Ethical Hacking, Linux",Cyber Security Analyst,IBM Certification,Finance,532321,11,Junior,Intern,Hyderabad,CompTIA Security+,Full-Time,Hybrid
Alice Fitzpatrick,Computer Science,AI Engineer,"Machine Learning, Python, TensorFlow",AI Engineer,Coursera,Manufacturing,1243058,13,Junior,Student,Hyderabad,CompTIA Security+,Contract,Hybrid
Kathleen Allen,Computer Science,Cyber Security Analyst,"Networking, Ethical Hacking, Linux",Cyber Security Analyst,Udemy,Healthcare,2261947,7,Senior,Intern,Chennai,Google Analytics,Full-Time,Onsite
Bailey Torres,Computer Science,Cloud Engineer,"AWS, Docker, Linux",Cloud Engineer,Coursera,Media,1516467,11,Junior,Junior Associate,Kochi,AWS,Contract,Remote
Christian Haney,Computer Science,Cyber Security Analyst,"Networking, Ethical Hacking, Linux",Cyber Security Analyst,IBM Certification,Manufacturing,371462,10,Mid-Level,Trainee,Chennai,,Freelance,Hybrid
Jamie Cochran,Computer Science,Data Analyst,"Python, SQL, Power BI",Data Analyst,Udemy,Marine,650199,9,Intern,Intern,Chennai,CompTIA Security+,Internship,Hybrid
Caroline Carson,Computer Science,AI Engineer,"Machine Learning, Python, TensorFlow",AI Engineer,Google Certification,Agriculture,1136920,7,Senior,Trainee,Bangalore,CompTIA Security+,Internship,Hybrid
Julie Owen,Computer Science,Data Analyst,"Python, SQL, Power BI",Data Analyst,Coursera,Healthcare,2444731,10,Intern,Intern,Pune,Google Analytics,Contract,Remote
Kaitlyn Vasquez,Computer Science,Cloud Engineer,"AWS, Docker, Linux",Cloud Engineer,Skillshare,IT,1358514,8,Senior,Junior Associate,Chennai,CompTIA Security+,Contract,Remote
Jason Fisher,Computer Science,Data Analyst,"Python, SQL, Power BI",Data Analyst,NPTEL,Healthcare,1724776,2,Senior,Student,Delhi,CompTIA Security+,Contract,Onsite
Tanya Evans,Computer Science,Software Developer,"Java, DSA, Git",Software Developer,IBM Certification,IT,1769352,7,Intern,Junior Associate,Mumbai,AWS,Contract,Onsite
